Timestamp,D,Dp,G,H,P,Pt,S,T,V,W
31/12/2020 6:00,NW,-2.7,,96.6,1002,F,7,-2.6,1200,7
31/12/2020 7:00,WNW,-3.4,,95.4,1003,R,6,-3.2,3000,2
31/12/2020 8:00,WNW,-3.8,,93.7,1003,R,6,-3.4,4700,5
31/12/2020 9:00,W,-4,,94.2,1004,R,7,-3.7,2800,5
31/12/2020 10:00,W,-2.5,,95.4,1004,R,6,-2.2,5000,1
31/12/2020 11:00,W,-2.5,,95.4,1004,R,8,-2.2,2600,3
31/12/2020 12:00,WNW,-1.2,,96.9,1004,R,8,-0.9,4800,7
31/12/2020 13:00,WNW,-0.9,,97.6,1004,F,6,-0.7,4400,5
31/12/2020 14:00,NW,-1.2,,98,1004,R,8,-1.1,1200,5
31/12/2020 15:00,NW,-1.1,,98.9,1005,R,9,-1.1,1700,8
31/12/2020 16:00,WNW,-0.9,,99.1,1005,R,8,-0.9,600,6
31/12/2020 17:00,NW,-1.1,,98.9,1005,R,8,-1.1,2400,8
31/12/2020 18:00,NW,-1,,98.9,1006,R,7,-1,1300,8
31/12/2020 19:00,NW,-1,,98.9,1006,R,7,-1,3000,5
01/01/2021 12:00,WNW,1.1,,100,1010,R,9,1.1,400,6
01/01/2021 13:00,WNW,1.8,,100,1009,F,9,1.8,2000,8
01/01/2021 14:00,NW,1.9,,100,1010,F,9,1.9,800,6
01/01/2021 15:00,NW,2.3,,100,1010,R,8,2.3,2900,8
01/01/2021 16:00,WNW,2.4,,100,1010,R,7,2.4,5000,5
01/01/2021 17:00,WNW,2.4,,99.3,1010,R,7,2.5,3300,5
01/01/2021 18:00,NW,2.6,,100,1011,R,8,2.6,1400,5
01/01/2021 19:00,NNW,2.8,,100,1011,R,9,2.8,1400,8
01/01/2021 20:00,NNW,2.6,,100,1012,R,10,2.6,700,6
01/01/2021 21:00,NNW,2.7,,100,1012,R,10,2.7,500,6
01/01/2021 22:00,NNW,2.8,,100,1012,R,9,2.8,400,6
01/01/2021 23:00,NW,2.7,,100,1013,R,8,2.7,1200,8
02/01/2021 0:00,NNW,2.8,,100,1013,R,9,2.8,500,6
02/01/2021 1:00,NNW,3,,100,1013,R,10,3,400,6
02/01/2021 2:00,NNW,2.9,,100,1013,R,10,2.9,600,6
02/01/2021 3:00,NNW,2.7,,100,1014,R,10,2.7,400,6
02/01/2021 4:00,NNW,2.7,,100,1014,R,10,2.7,700,6
02/01/2021 5:00,NNW,2.6,,100,1014,R,9,2.6,1700,8
02/01/2021 6:00,NNW,2.3,,100,1014,R,9,2.3,800,6
02/01/2021 7:00,NNW,2.1,,100,1015,R,10,2.1,2900,8
02/01/2021 8:00,NNW,1.8,,100,1015,R,10,1.8,6000,5
02/01/2021 9:00,NNW,1.2,,99.3,1015,R,8,1.3,16000,8
02/01/2021 10:00,NNW,0.9,,97.2,1015,R,8,1.3,35000,8
02/01/2021 11:00,NW,1,,95.1,1015,R,9,1.7,35000,7
02/01/2021 12:00,NNW,0.8,,91.6,1015,F,8,2,35000,8
02/01/2021 12:00,NNW,0.8,,91.6,1015,F,8,2,35000,8
02/01/2021 13:00,NW,0.9,,89.7,1014,F,7,2.4,40000,7
02/01/2021 14:00,NW,1.1,,88.4,1014,F,8,2.8,45000,7
02/01/2021 15:00,NNW,0.6,,85.3,1014,F,7,2.8,40000,3
02/01/2021 16:00,NW,-0.4,,91,1015,R,7,0.9,35000,0
02/01/2021 17:00,NNW,0,,93,1015,R,6,1,35000,0
02/01/2021 18:00,NNW,-1.3,,91,1015,R,7,-0.2,30000,0
02/01/2021 19:00,NNW,-0.8,,93,1015,R,8,0.1,26000,0
02/01/2021 20:00,NNW,-0.6,,98,1016,R,9,-0.4,300,6
02/01/2021 21:00,NNW,-0.2,,99,1016,R,8,-0.1,200,6
02/01/2021 22:00,NNW,0,,100,1016,R,6,0,200,6
02/01/2021 23:00,NNW,0.2,,100,1016,R,5,0.2,300,6
03/01/2021 0:00,NNW,0.4,,100,1016,S,7,0.4,2100,8
03/01/2021 1:00,NNW,0.3,,100,1016,F,7,0.3,300,6
03/01/2021 2:00,N,0.4,,100,1016,F,8,0.4,200,6
03/01/2021 3:00,N,0.5,,100,1016,R,7,0.5,200,6
03/01/2021 4:00,NNW,0.5,,100,1016,R,7,0.5,200,6
03/01/2021 5:00,NNW,0.5,,100,1015,F,8,0.5,200,6
03/01/2021 6:00,N,0.4,,100,1016,F,9,0.4,300,6
03/01/2021 7:00,N,0.7,,100,1016,R,7,0.7,6000,2
03/01/2021 8:00,NNE,1.4,,100,1016,R,6,1.4,5000,9
03/01/2021 9:00,NNE,1.3,,100,1017,R,7,1.3,10000,7
03/01/2021 10:00,NNE,2.7,,99.3,1017,R,8,2.8,30000,1
03/01/2021 11:00,NNE,3,,95.2,1017,R,9,3.7,45000,7
03/01/2021 12:00,NNE,3,,91.8,1017,R,9,4.2,35000,7
03/01/2021 12:00,NNE,3,,91.8,1017,R,9,4.2,35000,7
03/01/2021 13:00,NE,2.9,,92.5,1017,R,10,4,40000,10
03/01/2021 14:00,NNE,2.9,,93.8,1017,F,7,3.8,40000,8
03/01/2021 15:00,ENE,2.3,,93.8,1018,R,8,3.2,7000,14
03/01/2021 16:00,NNE,1.3,,94.4,1018,R,7,2.1,15000,7
03/01/2021 17:00,NE,1.6,,89.8,1018,R,9,3.1,17000,7
03/01/2021 18:00,NE,1.1,,92.3,1019,R,7,2.2,12000,8
03/01/2021 19:00,NNE,1.5,,93.8,1019,R,9,2.4,12000,8
03/01/2021 20:00,NE,2.1,,93.7,1019,R,9,3,9000,8
03/01/2021 21:00,NE,1.8,,93,1019,R,11,2.8,16000,8
03/01/2021 22:00,ENE,1.7,,91.6,1020,R,10,2.9,35000,8
03/01/2021 23:00,NNE,1.7,,94.5,1020,R,8,2.5,7000,13
04/01/2021 0:00,NNE,1.4,,94.9,1020,R,8,2.1,17000,7
04/01/2021 1:00,NNE,0.7,,93.1,1019,F,6,1.7,19000,8
04/01/2021 2:00,NNE,0.5,,92.3,1019,F,11,1.6,30000,7
04/01/2021 3:00,NNE,1.2,,93.7,1019,F,11,2.1,35000,7
04/01/2021 4:00,NNE,1.7,,93.8,1019,F,14,2.6,30000,7
04/01/2021 5:00,NNE,1.8,,95.1,1019,F,13,2.5,16000,9
04/01/2021 6:00,NE,2.6,,96.6,1018,F,14,3.1,9000,12
04/01/2021 7:00,NE,2.8,,95.8,1019,F,16,3.4,14000,9
04/01/2021 8:00,NE,2.5,,93.7,1019,R,17,3.4,14000,12
04/01/2021 9:00,NE,2.7,,94.5,1019,R,16,3.5,11000,12
04/01/2021 10:00,ENE,2.5,,91.8,1020,R,18,3.7,12000,12
04/01/2021 11:00,NE,2.3,31,87.9,1020,R,19,4.1,15000,10
04/01/2021 12:00,ENE,2.5,,90.3,1020,R,18,3.9,12000,10
04/01/2021 13:00,ENE,2.1,,87.9,1019,F,18,3.9,30000,8
04/01/2021 14:00,ENE,1.8,,87.7,1019,F,18,3.6,22000,8
04/01/2021 15:00,ENE,2,29,91.1,1019,F,15,3.3,17000,10
04/01/2021 16:00,NE,1.2,,88.3,1019,R,15,2.9,35000,7
04/01/2021 17:00,NE,1.1,30,88.4,1020,R,14,2.8,26000,8
04/01/2021 18:00,NE,0.7,,88.4,1020,R,15,2.4,40000,8
04/01/2021 19:00,NE,0.8,,90.4,1020,R,14,2.2,24000,7
04/01/2021 20:00,NNE,0.5,30,91.6,1020,R,11,1.7,50000,8
04/01/2021 21:00,NE,0.3,,88.4,1020,R,11,2,50000,7
04/01/2021 22:00,N,0.2,,92.9,1020,F,10,1.2,28000,7
04/01/2021 23:00,NNE,0.5,,90.9,1020,F,11,1.8,40000,7
05/01/2021 0:00,NNE,0.4,,94.3,1020,F,9,1.2,30000,7
05/01/2021 1:00,NNE,1,,95.8,1020,F,13,1.6,10000,13
05/01/2021 2:00,NNE,0.7,,96.5,1020,F,13,1.2,10000,13
05/01/2021 3:00,NNE,0.9,,95.7,1020,F,10,1.5,35000,8
05/01/2021 4:00,NNE,0.9,,96.4,1020,F,11,1.4,17000,12
05/01/2021 5:00,N,0,,94.9,1019,F,10,0.7,24000,7
05/01/2021 6:00,NNE,0.3,,93,1019,F,13,1.3,9000,13
05/01/2021 7:00,NNE,0.5,,93.6,1019,F,13,1.4,25000,8
05/01/2021 8:00,N,0.8,,94.3,1020,R,11,1.6,12000,9
05/01/2021 9:00,NNE,1.4,,94.9,1020,R,11,2.1,11000,12
05/01/2021 10:00,NE,2.1,,95.2,1020,R,15,2.8,13000,12
05/01/2021 11:00,NE,2.1,,95.8,1020,R,16,2.7,11000,12
05/01/2021 12:00,NE,2.6,,95.8,1019,F,15,3.2,8000,12
05/01/2021 13:00,NE,2.6,,95.8,1019,F,16,3.2,8000,15
05/01/2021 15:00,NE,2.4,,95.8,1019,F,17,3,6000,11
05/01/2021 16:00,NNE,2.5,,96.4,1019,R,14,3,9000,12
05/01/2021 17:00,NE,2.5,,95.9,1019,R,11,3.1,20000,11
05/01/2021 18:00,NNE,2.1,,92.5,1019,S,14,3.2,15000,9
05/01/2021 19:00,NNE,2.3,,94.4,1019,F,13,3.1,15000,9
05/01/2021 20:00,NE,2.4,,94.4,1019,R,16,3.2,11000,11
05/01/2021 21:00,NE,1.9,,95.1,1019,R,18,2.6,50000,12
05/01/2021 22:00,NNE,2,,96.4,1019,R,14,2.5,30000,7
05/01/2021 23:00,NNE,1.8,,95.7,1019,F,13,2.4,35000,8
06/01/2021 0:00,NNE,2.1,,97.8,1019,F,13,2.4,17000,11
06/01/2021 1:00,N,2.2,,97.8,1019,F,10,2.5,40000,9
06/01/2021 2:00,NNE,2.3,,97.8,1019,F,13,2.6,12000,8
06/01/2021 3:00,NNE,2.4,,97.8,1019,F,13,2.7,8000,11
06/01/2021 4:00,NNE,2.7,,98.5,1018,F,11,2.9,8000,13
06/01/2021 5:00,NE,2.8,,98.5,1018,F,10,3,11000,7
06/01/2021 6:00,NNE,2.8,,98.5,1019,F,10,3,9000,8
06/01/2021 7:00,NNE,2.3,,98.6,1019,R,8,2.5,11000,8
06/01/2021 8:00,NE,2.3,,97.2,1019,R,10,2.7,20000,7
06/01/2021 9:00,NE,2.4,,97.2,1020,R,9,2.8,28000,8
06/01/2021 10:00,NE,2.5,,95.1,1020,R,7,3.2,23000,8
06/01/2021 11:00,N,2.6,,95.1,1020,R,7,3.3,23000,8
06/01/2021 12:00,N,2.5,,92.4,1019,F,8,3.6,22000,8
06/01/2021 13:00,N,1.7,,86,1019,F,10,3.8,30000,8
06/01/2021 14:00,N,1.6,,86.5,1019,F,11,3.6,30000,8
06/01/2021 15:00,N,0.9,,83.5,1018,F,8,3.4,40000,8
06/01/2021 15:00,N,0.9,,83.5,1018,F,8,3.4,40000,8
06/01/2021 16:00,NNW,0.7,,87.1,1018,F,7,2.6,30000,2
06/01/2021 17:00,N,0.8,,90.4,1018,F,7,2.2,45000,7
06/01/2021 18:00,N,-0.3,,92.3,1019,R,7,0.8,30000,2
06/01/2021 19:00,NNW,-0.2,,93.6,1019,R,7,0.7,50000,7
06/01/2021 20:00,NNW,0.3,,95,1019,R,8,1,45000,8
06/01/2021 21:00,NNW,0.3,,95,1019,R,9,1,29000,8
06/01/2021 22:00,NNW,0.2,,95.7,1018,F,9,0.8,6000,11
06/01/2021 23:00,NW,0.2,,97,1018,F,8,0.6,18000,7
07/01/2021 0:00,NW,-0.3,,96.7,1018,F,9,0.1,7000,5
07/01/2021 1:00,NNW,-0.3,,98,1018,F,9,-0.1,2200,5
07/01/2021 2:00,NNW,-0.1,,99.2,1018,F,8,0,5000,5
07/01/2021 3:00,NNW,0.3,,98.4,1018,F,9,0.5,10000,8
07/01/2021 4:00,NNW,0.1,,98.6,1017,F,9,0.3,7000,5
07/01/2021 5:00,NNW,0.2,,99.4,1017,F,9,0.3,5000,5
07/01/2021 6:00,NW,0.2,,98.6,1017,F,9,0.4,6000,5
07/01/2021 7:00,NW,0,,98.5,1017,S,8,0.2,2800,5
07/01/2021 8:00,NW,-0.1,,98.5,1017,F,10,0.1,4000,5
07/01/2021 9:00,NW,-0.2,,97.1,1017,R,9,0.2,7000,5
07/01/2021 10:00,NW,-0.4,,93.5,1017,R,8,0.5,9000,5
07/01/2021 11:00,WNW,-0.2,,92.3,1017,R,10,0.9,12000,7
07/01/2021 12:00,WNW,-0.1,,90.3,1017,F,11,1.3,18000,7
07/01/2021 13:00,NW,-0.2,,88.3,1016,F,11,1.5,20000,7
07/01/2021 14:00,NW,0,,87.6,1016,F,9,1.8,20000,7
07/01/2021 15:00,WNW,-0.5,,85.9,1016,F,10,1.6,25000,7
06/01/2021 15:00,N,0.9,,83.5,1018,F,8,3.4,40000,8
06/01/2021 16:00,NNW,0.7,,87.1,1018,F,7,2.6,30000,2
06/01/2021 17:00,N,0.8,,90.4,1018,F,7,2.2,45000,7
06/01/2021 18:00,N,-0.3,,92.3,1019,R,7,0.8,30000,2
06/01/2021 19:00,NNW,-0.2,,93.6,1019,R,7,0.7,50000,7
06/01/2021 20:00,NNW,0.3,,95,1019,R,8,1,45000,8
06/01/2021 21:00,NNW,0.3,,95,1019,R,9,1,29000,8
06/01/2021 22:00,NNW,0.2,,95.7,1018,F,9,0.8,6000,11
06/01/2021 23:00,NW,0.2,,97,1018,F,8,0.6,18000,7
07/01/2021 0:00,NW,-0.3,,96.7,1018,F,9,0.1,7000,5
07/01/2021 1:00,NNW,-0.3,,98,1018,F,9,-0.1,2200,5
07/01/2021 2:00,NNW,-0.1,,99.2,1018,F,8,0,5000,5
07/01/2021 3:00,NNW,0.3,,98.4,1018,F,9,0.5,10000,8
07/01/2021 4:00,NNW,0.1,,98.6,1017,F,9,0.3,7000,5
07/01/2021 5:00,NNW,0.2,,99.4,1017,F,9,0.3,5000,5
07/01/2021 6:00,NW,0.2,,98.6,1017,F,9,0.4,6000,5
07/01/2021 7:00,NW,0,,98.5,1017,S,8,0.2,2800,5
07/01/2021 8:00,NW,-0.1,,98.5,1017,F,10,0.1,4000,5
07/01/2021 9:00,NW,-0.2,,97.1,1017,R,9,0.2,7000,5
07/01/2021 10:00,NW,-0.4,,93.5,1017,R,8,0.5,9000,5
07/01/2021 11:00,WNW,-0.2,,92.3,1017,R,10,0.9,12000,7
07/01/2021 12:00,WNW,-0.1,,90.3,1017,F,11,1.3,18000,7
07/01/2021 13:00,NW,-0.2,,88.3,1016,F,11,1.5,20000,7
07/01/2021 14:00,NW,0,,87.6,1016,F,9,1.8,20000,7
07/01/2021 15:00,WNW,-0.5,,85.9,1016,F,10,1.6,25000,7